Thread,Input,Output,Active Cycles,Work Score,Utilization (%)
154,149,14833,237,13.72,0.05
155,687,107845130,885,51.24,0.20
156,296,58213,339,19.63,0.08
157,1025,699733,1025,59.35,0.24
158,704,330547,1108,64.16,0.26
159,1050,385323925,1050,60.80,0.24
160,679,232119,1067,61.78,0.28
161,141,924490,162,9.38,0.04
162,260,44893,260,15.06,0.07
163,752,376609,968,56.05,0.26
164,504,42548196,792,45.86,0.21
165,760,289940,760,44.01,0.20
166,152,15323,196,11.35,0.05
167,782,407273,1006,58.25,0.27
168,542,195559,698,40.42,0.18
169,765,148939890,765,44.30,0.20
170,293,57163,419,24.26,0.11
171,398,105508,569,32.95,0.15
172,174,1741049,274,15.87,0.07
173,747,138665468,961,55.65,0.25
174,740,364573,740,42.85,0.20
175,250,31625,250,14.48,0.07
176,546,54108145,624,36.13,0.16
177,232,27291,300,17.37,0.08
178,512,174495,660,38.22,0.17
179,670,225455,670,38.80,0.18
180,293,57163,419,24.26,0.11
181,248,40945,356,20.61,0.09
182,365,88573,365,21.13,0.10
183,300,8955050,300,17.37,0.08
184,990,322943115,990,57.32,0.26
185,766,294525,876,50.72,0.23
186,888,233015281,1269,73.48,0.33
187,186,2127685,213,12.33,0.06
188,691,239775,790,45.74,0.21
189,844,358158,1328,76.90,0.35
190,488,158647,698,40.42,0.18
191,623,258604,890,51.53,0.23
192,885,230659910,885,51.24,0.20
193,648,90489699,927,53.68,0.21
194,275,50233,275,15.92,0.06
195,290,55873,290,16.79,0.06
196,308,63169,440,25.48,0.10
197,679,232119,1067,61.78,0.24
198,324,11285256,512,29.65,0.11
199,751,283125,859,49.74,0.19
200,345,13628420,345,19.98,0.08
201,869,503611,1369,79.27,0.31
202,1049,733801,1649,95.48,0.37
203,771,152474245,882,51.07,0.20
204,868,378383,1240,71.80,0.28
205,1041,375495640,1190,68.91,0.27
206,921,259986020,1053,60.97,0.24
